crop_id,source_image,crop_path,score,class_id,x1,y1,x2,y2,padding
field000_23_10_1000_APML_wbc_0000,<FIELDS>/23_10_1000_APML.png,crops/field000_23_10_1000_APML_wbc_0000.png,0.7965999245643616,0,302,286,404,415,0.1
field000_23_10_1000_APML_wbc_0001,<FIELDS>/23_10_1000_APML.png,crops/field000_23_10_1000_APML_wbc_0001.png,0.7690991759300232,0,368,307,479,438,0.1
field000_23_10_1000_APML_wbc_0002,<FIELDS>/23_10_1000_APML.png,crops/field000_23_10_1000_APML_wbc_0002.png,0.2745720446109772,0,423,199,528,322,0.1
field001_23_11_1000_APML_wbc_0000,<FIELDS>/23_11_1000_APML.png,crops/field001_23_11_1000_APML_wbc_0000.png,0.7852939367294312,0,346,468,445,592,0.1
field001_23_11_1000_APML_wbc_0001,<FIELDS>/23_11_1000_APML.png,crops/field001_23_11_1000_APML_wbc_0001.png,0.7625806331634521,0,210,387,307,503,0.1
field001_23_11_1000_APML_wbc_0002,<FIELDS>/23_11_1000_APML.png,crops/field001_23_11_1000_APML_wbc_0002.png,0.7512756586074829,0,224,471,324,599,0.1
field001_23_11_1000_APML_wbc_0003,<FIELDS>/23_11_1000_APML.png,crops/field001_23_11_1000_APML_wbc_0003.png,0.7269538044929504,0,368,387,479,510,0.1
field001_23_11_1000_APML_wbc_0004,<FIELDS>/23_11_1000_APML.png,crops/field001_23_11_1000_APML_wbc_0004.png,0.6929546594619751,0,80,0,196,55,0.1
field002_23_12_1000_APML_wbc_0000,<FIELDS>/23_12_1000_APML.png,crops/field002_23_12_1000_APML_wbc_0000.png,0.7964578866958618,0,364,240,448,342,0.1
field002_23_12_1000_APML_wbc_0001,<FIELDS>/23_12_1000_APML.png,crops/field002_23_12_1000_APML_wbc_0001.png,0.7892664670944214,0,566,447,639,558,0.1
field002_23_12_1000_APML_wbc_0002,<FIELDS>/23_12_1000_APML.png,crops/field002_23_12_1000_APML_wbc_0002.png,0.7327026724815369,0,325,53,418,172,0.1
field002_23_12_1000_APML_wbc_0003,<FIELDS>/23_12_1000_APML.png,crops/field002_23_12_1000_APML_wbc_0003.png,0.6794983744621277,0,66,515,179,639,0.1
field003_23_13_1000_APML_wbc_0000,<FIELDS>/23_13_1000_APML.png,crops/field003_23_13_1000_APML_wbc_0000.png,0.7798194289207458,0,261,197,364,327,0.1
field003_23_13_1000_APML_wbc_0001,<FIELDS>/23_13_1000_APML.png,crops/field003_23_13_1000_APML_wbc_0001.png,0.7707663774490356,0,168,298,265,418,0.1
field003_23_13_1000_APML_wbc_0002,<FIELDS>/23_13_1000_APML.png,crops/field003_23_13_1000_APML_wbc_0002.png,0.76777583360672,0,439,324,531,437,0.1
field003_23_13_1000_APML_wbc_0003,<FIELDS>/23_13_1000_APML.png,crops/field003_23_13_1000_APML_wbc_0003.png,0.746251106262207,0,59,556,165,639,0.1
field004_23_14_1000_APML_wbc_0000,<FIELDS>/23_14_1000_APML.png,crops/field004_23_14_1000_APML_wbc_0000.png,0.8092226982116699,0,223,297,327,422,0.1
field004_23_14_1000_APML_wbc_0001,<FIELDS>/23_14_1000_APML.png,crops/field004_23_14_1000_APML_wbc_0001.png,0.7799269556999207,0,371,485,473,609,0.1
field004_23_14_1000_APML_wbc_0002,<FIELDS>/23_14_1000_APML.png,crops/field004_23_14_1000_APML_wbc_0002.png,0.763566792011261,0,500,169,614,304,0.1
field005_23_15_1000_APML_wbc_0000,<FIELDS>/23_15_1000_APML.png,crops/field005_23_15_1000_APML_wbc_0000.png,0.7700411677360535,0,323,502,425,630,0.1
field006_23_16_1000_APML_wbc_0000,<FIELDS>/23_16_1000_APML.png,crops/field006_23_16_1000_APML_wbc_0000.png,0.7924946546554565,0,446,520,540,638,0.1
field006_23_16_1000_APML_wbc_0001,<FIELDS>/23_16_1000_APML.png,crops/field006_23_16_1000_APML_wbc_0001.png,0.7783910036087036,0,274,246,381,384,0.1
field006_23_16_1000_APML_wbc_0002,<FIELDS>/23_16_1000_APML.png,crops/field006_23_16_1000_APML_wbc_0002.png,0.663301408290863,0,10,0,121,72,0.1
field006_23_16_1000_APML_wbc_0003,<FIELDS>/23_16_1000_APML.png,crops/field006_23_16_1000_APML_wbc_0003.png,0.40378129482269287,0,545,0,639,38,0.1
