filename,split,triage_verdict
slide_20260908_111528_094.jpg,train,keep
slide_20260908_111612_432.jpg,train,keep
slide_20260908_111632_627.jpg,train,keep
slide_20260908_111720_042.jpg,train,keep
slide_20260908_111739_342.jpg,train,review
slide_20260908_111815_516.jpg,excluded,reject
slide_20260908_111834_416.jpg,excluded,reject
slide_20260908_111944_530.jpg,excluded,reject
slide_20260908_111958_369.jpg,excluded,reject
slide_20260908_112010_450.jpg,train,review
slide_20260908_112052_609.jpg,excluded,reject
slide_20260908_112113_439.jpg,train,review
slide_20260908_112131_362.jpg,train,keep
slide_20260908_112210_925.jpg,train,review
slide_20260908_112557_080.jpg,train,review
slide_20260908_112619_343.jpg,train,keep
slide_20260908_112655_673.jpg,train,review
slide_20260908_112725_564.jpg,train,review
slide_20260908_112808_918.jpg,train,review
slide_20260908_112829_910.jpg,excluded,reject
slide_20260908_112846_550.jpg,excluded,reject
slide_20260908_112858_872.jpg,excluded,reject
slide_20260908_112915_584.jpg,excluded,reject
slide_20260908_112951_424.jpg,excluded,reject
slide_20260908_113000_580.jpg,excluded,reject
slide_20260908_113006_035.jpg,excluded,reject
slide_20260908_113033_282.jpg,train,review
slide_20260908_113042_253.jpg,train,keep
slide_20260908_113052_692.jpg,train,keep
slide_20260908_113101_164.jpg,excluded,reject
slide_20260908_113222_950.jpg,train,keep
slide_20260908_113250_484.jpg,train,keep
slide_20260908_113315_521.jpg,train,keep
slide_20260908_113337_794.jpg,train,keep
slide_20260908_113407_595.jpg,train,review
slide_20260908_113428_817.jpg,train,keep
slide_20260908_113438_013.jpg,train,review
slide_20260908_113500_717.jpg,excluded,reject
slide_20260908_113536_060.jpg,train,review
slide_20260908_113543_855.jpg,train,review
slide_20260908_113558_248.jpg,excluded,reject
slide_20260908_113612_608.jpg,excluded,reject
slide_20260908_113641_586.jpg,train,review
slide_20260908_113653_342.jpg,train,review
slide_20260908_113730_094.jpg,train,keep
slide_20260908_113820_128.jpg,train,review
slide_20260908_113829_116.jpg,train,keep
slide_20260908_113848_414.jpg,train,keep
slide_20260908_113858_944.jpg,train,keep
slide_20260908_113916_011.jpg,train,review
slide_20260908_113929_120.jpg,train,review
slide_20260908_113953_168.jpg,train,review
slide_20260908_114009_381.jpg,train,review
slide_20260908_114025_368.jpg,excluded,reject
slide_20260908_114031_601.jpg,excluded,reject
slide_20260908_114043_979.jpg,excluded,reject
slide_20260908_114056_897.jpg,train,review
slide_20260908_114107_273.jpg,train,keep
slide_20260908_114123_742.jpg,train,keep
slide_20260908_114203_030.jpg,train,keep
