filename,timestamp_iso,width,height,triage_verdict
slide_20260908_111528_094.jpg,2026-09-08T11:15:28.203,4032,3040,keep
slide_20260908_111612_432.jpg,2026-09-08T11:16:12.543,4032,3040,keep
slide_20260908_111632_627.jpg,2026-09-08T11:16:32.747,4032,3040,keep
slide_20260908_111720_042.jpg,2026-09-08T11:17:20.161,4032,3040,keep
slide_20260908_111739_342.jpg,2026-09-08T11:17:39.477,4032,3040,review
slide_20260908_111815_516.jpg,2026-09-08T11:18:15.627,4032,3040,reject
slide_20260908_111834_416.jpg,2026-09-08T11:18:34.552,4032,3040,reject
slide_20260908_111944_530.jpg,2026-09-08T11:19:44.642,4032,3040,reject
slide_20260908_111958_369.jpg,2026-09-08T11:19:58.485,4032,3040,reject
slide_20260908_112010_450.jpg,2026-09-08T11:20:10.574,4032,3040,review
slide_20260908_112052_609.jpg,2026-09-08T11:20:52.731,4032,3040,reject
slide_20260908_112113_439.jpg,2026-09-08T11:21:13.572,4032,3040,review
slide_20260908_112131_362.jpg,2026-09-08T11:21:31.475,4032,3040,keep
slide_20260908_112210_925.jpg,2026-09-08T11:22:11.040,4032,3040,review
slide_20260908_112557_080.jpg,2026-09-08T11:25:57.205,4032,3040,review
slide_20260908_112619_343.jpg,2026-09-08T11:26:19.448,4032,3040,keep
slide_20260908_112655_673.jpg,2026-09-08T11:26:55.779,4032,3040,review
slide_20260908_112725_564.jpg,2026-09-08T11:27:25.680,4032,3040,review
slide_20260908_112808_918.jpg,2026-09-08T11:28:09.043,4032,3040,review
slide_20260908_112829_910.jpg,2026-09-08T11:28:30.034,4032,3040,reject
slide_20260908_112846_550.jpg,2026-09-08T11:28:46.669,4032,3040,reject
slide_20260908_112858_872.jpg,2026-09-08T11:28:58.992,4032,3040,reject
slide_20260908_112915_584.jpg,2026-09-08T11:29:15.711,4032,3040,reject
slide_20260908_112951_424.jpg,2026-09-08T11:29:51.530,4032,3040,reject
slide_20260908_113000_580.jpg,2026-09-08T11:30:00.695,4032,3040,reject
slide_20260908_113006_035.jpg,2026-09-08T11:30:06.164,4032,3040,reject
slide_20260908_113033_282.jpg,2026-09-08T11:30:33.416,4032,3040,review
slide_20260908_113042_253.jpg,2026-09-08T11:30:42.381,4032,3040,keep
slide_20260908_113052_692.jpg,2026-09-08T11:30:52.823,4032,3040,keep
slide_20260908_113101_164.jpg,2026-09-08T11:31:01.285,4032,3040,reject
slide_20260908_113222_950.jpg,2026-09-08T11:32:23.079,4032,3040,keep
slide_20260908_113250_484.jpg,2026-09-08T11:32:50.599,4032,3040,keep
slide_20260908_113315_521.jpg,2026-09-08T11:33:15.640,4032,3040,keep
slide_20260908_113337_794.jpg,2026-09-08T11:33:37.916,4032,3040,keep
slide_20260908_113407_595.jpg,2026-09-08T11:34:07.706,4032,3040,review
slide_20260908_113428_817.jpg,2026-09-08T11:34:28.926,4032,3040,keep
slide_20260908_113438_013.jpg,2026-09-08T11:34:38.153,4032,3040,review
slide_20260908_113500_717.jpg,2026-09-08T11:35:00.835,4032,3040,reject
slide_20260908_113536_060.jpg,2026-09-08T11:35:36.167,4032,3040,review
slide_20260908_113543_855.jpg,2026-09-08T11:35:43.961,4032,3040,review
slide_20260908_113558_248.jpg,2026-09-08T11:35:58.355,4032,3040,reject
slide_20260908_113612_608.jpg,2026-09-08T11:36:12.742,4032,3040,reject
slide_20260908_113641_586.jpg,2026-09-08T11:36:41.693,4032,3040,review
slide_20260908_113653_342.jpg,2026-09-08T11:36:53.451,4032,3040,review
slide_20260908_113730_094.jpg,2026-09-08T11:37:30.222,4032,3040,keep
slide_20260908_113820_128.jpg,2026-09-08T11:38:20.253,4032,3040,review
slide_20260908_113829_116.jpg,2026-09-08T11:38:29.246,4032,3040,keep
slide_20260908_113848_414.jpg,2026-09-08T11:38:48.542,4032,3040,keep
slide_20260908_113858_944.jpg,2026-09-08T11:38:59.055,4032,3040,keep
slide_20260908_113916_011.jpg,2026-09-08T11:39:16.117,4032,3040,review
slide_20260908_113929_120.jpg,2026-09-08T11:39:29.260,4032,3040,review
slide_20260908_113953_168.jpg,2026-09-08T11:39:53.272,4032,3040,review
slide_20260908_114009_381.jpg,2026-09-08T11:40:09.488,4032,3040,review
slide_20260908_114025_368.jpg,2026-09-08T11:40:25.485,4032,3040,reject
slide_20260908_114031_601.jpg,2026-09-08T11:40:31.717,4032,3040,reject
slide_20260908_114043_979.jpg,2026-09-08T11:40:44.121,4032,3040,reject
