crop_id,source_image,crop_path,score,class_id,x1,y1,x2,y2,padding
field000_Im001_1_wbc_0000,<FIELDS>/Im001_1.jpg,crops/field000_Im001_1_wbc_0000.png,0.8212258219718933,0,702,694,877,853,0.1
field000_Im001_1_wbc_0001,<FIELDS>/Im001_1.jpg,crops/field000_Im001_1_wbc_0001.png,0.8078840970993042,0,1385,575,1562,765,0.1
field000_Im001_1_wbc_0002,<FIELDS>/Im001_1.jpg,crops/field000_Im001_1_wbc_0002.png,0.7821176052093506,0,1321,0,1497,97,0.1
field000_Im001_1_wbc_0003,<FIELDS>/Im001_1.jpg,crops/field000_Im001_1_wbc_0003.png,0.7495351433753967,0,705,572,874,730,0.1
field000_Im001_1_wbc_0004,<FIELDS>/Im001_1.jpg,crops/field000_Im001_1_wbc_0004.png,0.6936774253845215,0,1012,450,1151,601,0.1
field000_Im001_1_wbc_0005,<FIELDS>/Im001_1.jpg,crops/field000_Im001_1_wbc_0005.png,0.652915358543396,0,952,541,1100,682,0.1
field000_Im001_1_wbc_0006,<FIELDS>/Im001_1.jpg,crops/field000_Im001_1_wbc_0006.png,0.6099103689193726,0,808,657,963,800,0.1
field000_Im001_1_wbc_0007,<FIELDS>/Im001_1.jpg,crops/field000_Im001_1_wbc_0007.png,0.5692725777626038,0,1035,284,1190,442,0.1
field000_Im001_1_wbc_0008,<FIELDS>/Im001_1.jpg,crops/field000_Im001_1_wbc_0008.png,0.557262122631073,0,800,525,981,688,0.1
field000_Im001_1_wbc_0009,<FIELDS>/Im001_1.jpg,crops/field000_Im001_1_wbc_0009.png,0.5287063121795654,0,894,614,1044,752,0.1
field000_Im001_1_wbc_0010,<FIELDS>/Im001_1.jpg,crops/field000_Im001_1_wbc_0010.png,0.2294418215751648,0,977,965,1251,1184,0.1
field001_Im003_1_wbc_0000,<FIELDS>/Im003_1.jpg,crops/field001_Im003_1_wbc_0000.png,0.7827579379081726,0,726,377,912,566,0.1
field001_Im003_1_wbc_0001,<FIELDS>/Im003_1.jpg,crops/field001_Im003_1_wbc_0001.png,0.7561870813369751,0,146,1108,299,1267,0.1
field001_Im003_1_wbc_0002,<FIELDS>/Im003_1.jpg,crops/field001_Im003_1_wbc_0002.png,0.7509356737136841,0,49,245,226,450,0.1
field001_Im003_1_wbc_0003,<FIELDS>/Im003_1.jpg,crops/field001_Im003_1_wbc_0003.png,0.7398861050605774,0,188,239,358,395,0.1
field001_Im003_1_wbc_0004,<FIELDS>/Im003_1.jpg,crops/field001_Im003_1_wbc_0004.png,0.7209809422492981,0,816,609,1002,781,0.1
field001_Im003_1_wbc_0005,<FIELDS>/Im003_1.jpg,crops/field001_Im003_1_wbc_0005.png,0.7036526799201965,0,341,823,505,990,0.1
field001_Im003_1_wbc_0006,<FIELDS>/Im003_1.jpg,crops/field001_Im003_1_wbc_0006.png,0.6792150139808655,0,139,331,303,483,0.1
field001_Im003_1_wbc_0007,<FIELDS>/Im003_1.jpg,crops/field001_Im003_1_wbc_0007.png,0.589579164981842,0,838,493,1002,647,0.1
field001_Im003_1_wbc_0008,<FIELDS>/Im003_1.jpg,crops/field001_Im003_1_wbc_0008.png,0.4207863509654999,0,620,821,784,989,0.1
field001_Im003_1_wbc_0009,<FIELDS>/Im003_1.jpg,crops/field001_Im003_1_wbc_0009.png,0.3777388632297516,0,219,0,395,51,0.1
field001_Im003_1_wbc_0010,<FIELDS>/Im003_1.jpg,crops/field001_Im003_1_wbc_0010.png,0.25730082392692566,0,605,511,774,669,0.1
field002_Im003_2_wbc_0000,<FIELDS>/Im003_2.jpg,crops/field002_Im003_2_wbc_0000.png,0.8324611783027649,0,837,694,1009,854,0.1
field002_Im003_2_wbc_0001,<FIELDS>/Im003_2.jpg,crops/field002_Im003_2_wbc_0001.png,0.7891697287559509,0,212,0,390,99,0.1
field002_Im003_2_wbc_0002,<FIELDS>/Im003_2.jpg,crops/field002_Im003_2_wbc_0002.png,0.778610348701477,0,841,569,1003,732,0.1
field002_Im003_2_wbc_0003,<FIELDS>/Im003_2.jpg,crops/field002_Im003_2_wbc_0003.png,0.7766760587692261,0,733,524,908,687,0.1
field002_Im003_2_wbc_0004,<FIELDS>/Im003_2.jpg,crops/field002_Im003_2_wbc_0004.png,0.7731810808181763,0,144,569,330,766,0.1
field002_Im003_2_wbc_0005,<FIELDS>/Im003_2.jpg,crops/field002_Im003_2_wbc_0005.png,0.7291586399078369,0,555,449,704,604,0.1
field002_Im003_2_wbc_0006,<FIELDS>/Im003_2.jpg,crops/field002_Im003_2_wbc_0006.png,0.6628926396369934,0,613,535,765,682,0.1
field002_Im003_2_wbc_0007,<FIELDS>/Im003_2.jpg,crops/field002_Im003_2_wbc_0007.png,0.6428225636482239,0,522,283,677,442,0.1
field002_Im003_2_wbc_0008,<FIELDS>/Im003_2.jpg,crops/field002_Im003_2_wbc_0008.png,0.5641605257987976,0,750,657,900,801,0.1
field002_Im003_2_wbc_0009,<FIELDS>/Im003_2.jpg,crops/field002_Im003_2_wbc_0009.png,0.3968425989151001,0,667,614,816,752,0.1
field002_Im003_2_wbc_0010,<FIELDS>/Im003_2.jpg,crops/field002_Im003_2_wbc_0010.png,0.27626729011535645,0,1305,20,1507,227,0.1
field003_Im003_4_wbc_0000,<FIELDS>/Im003_4.jpg,crops/field003_Im003_4_wbc_0000.png,0.7973123788833618,0,1488,252,1658,446,0.1
field003_Im003_4_wbc_0001,<FIELDS>/Im003_4.jpg,crops/field003_Im003_4_wbc_0001.png,0.7816449403762817,0,1413,1110,1564,1265,0.1
field003_Im003_4_wbc_0002,<FIELDS>/Im003_4.jpg,crops/field003_Im003_4_wbc_0002.png,0.7628721594810486,0,1208,824,1368,987,0.1
field003_Im003_4_wbc_0003,<FIELDS>/Im003_4.jpg,crops/field003_Im003_4_wbc_0003.png,0.7620267271995544,0,797,378,986,564,0.1
field003_Im003_4_wbc_0004,<FIELDS>/Im003_4.jpg,crops/field003_Im003_4_wbc_0004.png,0.7442116737365723,0,709,611,894,777,0.1
field003_Im003_4_wbc_0005,<FIELDS>/Im003_4.jpg,crops/field003_Im003_4_wbc_0005.png,0.7347970604896545,0,1352,241,1524,397,0.1
field003_Im003_4_wbc_0006,<FIELDS>/Im003_4.jpg,crops/field003_Im003_4_wbc_0006.png,0.7065195441246033,0,1411,333,1575,482,0.1
field003_Im003_4_wbc_0007,<FIELDS>/Im003_4.jpg,crops/field003_Im003_4_wbc_0007.png,0.6772075891494751,0,708,496,871,648,0.1
field003_Im003_4_wbc_0008,<FIELDS>/Im003_4.jpg,crops/field003_Im003_4_wbc_0008.png,0.42659223079681396,0,944,512,1101,664,0.1
field003_Im003_4_wbc_0009,<FIELDS>/Im003_4.jpg,crops/field003_Im003_4_wbc_0009.png,0.4088996648788452,0,1323,0,1495,46,0.1
field003_Im003_4_wbc_0010,<FIELDS>/Im003_4.jpg,crops/field003_Im003_4_wbc_0010.png,0.40548577904701233,0,1105,767,1285,920,0.1
field003_Im003_4_wbc_0011,<FIELDS>/Im003_4.jpg,crops/field003_Im003_4_wbc_0011.png,0.30741262435913086,0,926,823,1090,988,0.1
field004_Im003_6_wbc_0000,<FIELDS>/Im003_6.jpg,crops/field004_Im003_6_wbc_0000.png,0.8135077357292175,0,1184,534,1368,721,0.1
field004_Im003_6_wbc_0001,<FIELDS>/Im003_6.jpg,crops/field004_Im003_6_wbc_0001.png,0.788658082485199,0,690,416,902,623,0.1
